"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"SMIM19","SMIM19",-0.918980671924016,7.49395559812998e-52,8.03146113456044e-56,1213.69821702797,-15.7401016078669
"TATDN1","TATDN1",-0.775233223797568,3.95745373909216e-49,6.36195440735015e-53,675.535612235046,-15.3119579557593
"FMC1","FMC1",-1.20942004956548,1.54550184631794e-45,4.14088322567301e-49,353.661198353628,-14.7299375514494
"SPAG16","SPAG16",-0.839062079965355,3.939197711808e-44,1.79423843476505e-47,450.522667343437,-14.4730178583576
"HSPB2","HSPB2",-1.62220473095665,4.09268830695904e-44,2.08346268607084e-47,416.745169681252,-14.4627366947099
"SLC2A4RG","SLC2A4RG",-0.873077208972056,1.19574477757987e-43,6.72792656784754e-47,3862.1248211606,-14.3818425042834
"HSPB2-C11orf52","HSPB2-C11orf52",-1.66318945597629,8.60156617115421e-43,5.76157206759519e-46,546.702533842495,-14.2324635812366
"DCTN6","DCTN6",-0.572877659557204,2.6503833291234e-42,2.13036197180565e-45,1497.40825182582,-14.1407387409662
"ZFYVE21","ZFYVE21",-0.665683493087964,7.42774932992337e-42,6.16939231111177e-45,2286.72374033672,-14.0657175350934
"AAMDC","AAMDC",-1.15602806481822,8.30620188441526e-42,7.12157276481762e-45,697.475772139727,-14.0555605987757
"NDUFS4","NDUFS4",-0.912085989175785,1.36868973462351e-41,1.24683039887467e-44,1559.71994141046,-14.0158575498273
"CCNB1IP1","CCNB1IP1",-0.814599244457211,2.3222809400163e-41,2.2399623245877e-44,796.318616904992,-13.9742064907971
"HINT2","HINT2",-0.876287906621005,3.09248338271207e-41,3.06572047156838e-44,800.167298176791,-13.9518447125489
"ITGB1BP1","ITGB1BP1",-0.835863680526662,4.10187644040185e-41,4.28618227837184e-44,3443.8429239326,-13.9279266369907
"DNAJC19","DNAJC19",-0.759063321239159,4.10187644040185e-41,4.26670193685189e-44,896.560152596564,-13.9282520332771
"MOCS2","MOCS2",-0.575678459205972,7.75538106116259e-41,8.31163739373854e-44,1386.9457932715,-13.8805391650405
"TRIM52-AS1","TRIM52-AS1",-1.22321084165794,3.31051621463561e-40,3.72536186841078e-43,303.815140660441,-13.7726045498856
"ETFRF1","ETFRF1",-0.747220332976951,5.29660646637147e-40,6.10224467631148e-43,771.597876447364,-13.7369132960695
"ITGA9-AS1","ITGA9-AS1",-0.978985348767071,8.99695141559479e-40,1.06064856063599e-42,90.9249505776132,-13.6968227642844
"SNHG19","SNHG19",-1.50127459081272,1.12013845383988e-39,1.35054069669626e-42,231.829829468301,-13.6792632807803
"MIR4458HG","MIR4458HG",-1.17236106067603,2.15140548821104e-39,2.70921571004257e-42,139.801757589182,-13.6285467612016
"FAM200B","FAM200B",-0.781292599421264,3.09360305218438e-39,4.06147816512698e-42,663.443655756751,-13.5989636225195
"NMB","NMB",-1.31464200860403,7.40966756552755e-39,1.01249375945638e-41,548.619570432387,-13.5319870216428
"TCEAL1","TCEAL1",-0.639279741515359,8.61049621815667e-39,1.19965116240427e-41,818.58643705323,-13.5195143583551
"GABARAPL2","GABARAPL2",-0.592932187052848,1.51039338028788e-38,2.18528099390579e-41,3902.12918318227,-13.4753226109362
"EIF2D","EIF2D",-0.547792801933694,1.62487978425962e-38,2.39445886274628e-41,1526.2075022745,-13.4685739750802
"H2AFJ","H2AFJ",-0.811301355012765,3.2088514188547e-38,4.8146097434789e-41,3053.93457089504,-13.4168958877959
"ESD","ESD",-0.590522932289237,4.07426699439532e-38,6.22225487448847e-41,3407.58029978916,-13.3978710160868
