"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"ATP5F1E","ATP5F1E",1.91098083132764,1.28898702606055e-76,5.3642728755499e-81,7890.4333737321,19.0606129221405
"NOP10","NOP10",1.81087272334896,1.28898702606055e-76,7.0438374057245e-81,2130.7837556824,19.0463557886746
"GNG5","GNG5",1.57746153326337,2.06901172169138e-71,1.69595758492695e-75,3624.01765736889,18.386152871151
"BRI3","BRI3",1.85626505199407,2.98685048623432e-70,3.26440666273321e-74,7071.15594847656,18.2250728889872
"ATOX1","ATOX1",1.75147345056836,1.42950082809902e-69,1.95292334230309e-73,1481.03719583634,18.1269508017802
"LAMTOR2","LAMTOR2",1.61456812862155,2.76087682443331e-69,4.52615124637281e-73,1714.5549879564,18.0806620236101
"RNF181","RNF181",1.60877807254826,7.34637654241427e-69,1.40508308415257e-72,1940.11460914819,18.0180912267498
"RNASEK","RNASEK",1.48041426221027,6.26282095038704e-68,1.36896001538556e-71,7577.90080956961,17.8916887269321
"SCNM1","SCNM1",1.35272676220146,1.88819232909015e-67,4.64322275521499e-71,1209.82303132589,17.8235069452188
"CHCHD1","CHCHD1",1.48631013210703,1.90486978809266e-67,5.20470446758836e-71,963.078557034369,17.8171210806377
"C11orf98","C11orf98",1.43538017259514,5.11796305081401e-65,1.53822764444258e-68,945.21902290564,17.4959511914213
"HSPB11","HSPB11",1.46473611803928,1.34417979393631e-64,4.40726728250382e-68,628.248437215897,17.4358795170955
"TMEM258","TMEM258",1.89671546302921,1.64823585526255e-64,5.85454961021151e-68,3545.99243044031,17.4196388526258
"EXOSC1","EXOSC1",1.26855339698076,6.66509755450374e-64,2.54956052796668e-67,748.491052466716,17.3352500095836
"TCAF1P1","TCAF1P1",-2.87620043314161,1.96624274545264e-63,8.05859208770449e-67,171.562593563661,-17.2689568255609
"PCDHGB7","PCDHGB7",-3.13929873653085,8.91779428999216e-63,4.24727843046485e-66,1075.98525611259,-17.1727609459414
"SNRPG","SNRPG",1.57867109983149,8.91779428999216e-63,4.38592030437604e-66,1824.66824243065,17.1708966582886
"TAF10","TAF10",1.62402210258623,8.91779428999216e-63,4.34677768470697e-66,2550.98868980255,17.1714169826276
"BOLA2B","BOLA2B",1.86532557483606,1.11519891783593e-62,5.78944218117505e-66,602.356496949513,17.1547744174007
"C19orf53","C19orf53",1.55314005866415,1.62445994855151e-62,8.87707286292801e-66,2945.94588620153,17.1299239160181
"ZBTB8OS","ZBTB8OS",1.44382759950035,3.59304607908582e-62,2.06164014483462e-65,596.067929262269,17.0808303303342
"RPL28","RPL28",1.82842961719552,5.53919364376112e-62,3.32966092414395e-65,36079.1454352799,17.0528380540511
"ATP5MF","ATP5MF",1.6791316132344,2.54344621357229e-60,1.59838418842489e-63,3282.9848821892,16.8250826814173
"SNRPC","SNRPC",1.23263981722646,4.27041957802414e-60,2.80035164547063e-63,1773.06446300053,16.7918382518428
"PSENEN","PSENEN",1.27053765033008,5.07295670728208e-60,3.4652290412867e-63,1618.08346701604,16.7791913030179
"CMC2","CMC2",1.49408130149964,7.12391442239641e-60,5.25549029767762e-63,621.747695272201,16.7544383259757
"LSM1","LSM1",1.27682484905088,7.12391442239641e-60,5.06798197455838e-63,1159.25612658185,16.7565989602278
"BLOC1S1","BLOC1S1",1.62028424594551,1.22375442257083e-59,9.81902592816354e-63,2617.37496758768,16.7172223359878
"PCDHGA9","PCDHGA9",-3.20250130814315,1.22375442257083e-59,9.6961872870201e-63,225.222868436642,-16.717972719498
"PRRC2B","PRRC2B",-1.43605079788556,1.22375442257083e-59,1.00310480278491e-62,6422.59348938766,-16.715948898985
"CKLF","CKLF",1.6990832121766,1.25097821345551e-59,1.05960066168805e-62,1125.71037836593,16.7126823547806
"CMC1","CMC1",1.30012370607024,3.68737819469356e-59,3.22402530752737e-62,630.533014644483,16.6462064464256
"C17orf49","C17orf49",1.30951311363726,3.74880287958988e-59,3.38016052423471e-62,2951.71628649106,16.6433753119456
"SS18L2","SS18L2",1.45302800632954,5.69996617939743e-59,5.29519522663222e-62,572.36305091742,16.6164797744365
"COX7A2","COX7A2",1.55856901182343,2.43146845572211e-58,2.32523828384037e-61,3793.56717432988,16.5275177872362
"MIEN1","MIEN1",1.38370983258711,3.75508504814207e-58,3.69362719563689e-61,1398.87124907094,16.4995948073322
"RPL26L1","RPL26L1",1.42326148286923,3.8430058086722e-58,3.99011505039874e-61,663.997864259305,16.4949315803154
"UBL5","UBL5",1.55060266498306,3.8430058086722e-58,3.93903720465406e-61,3859.72586481866,16.4957097948733
"MRPL52","MRPL52",1.47736256240488,8.94936025337756e-58,9.53646410780964e-61,893.004507795063,16.4422175460058
"UBE2L3","UBE2L3",0.877794286236524,1.66637647009038e-57,1.82122623032365e-60,4560.20554952547,16.40296675719
"TMEM219","TMEM219",1.33981426149694,1.68681611192837e-57,1.88965437823611e-60,3881.59253251605,16.4007262586395
"MRPL53","MRPL53",1.68634931153327,2.36438749376539e-57,2.71330568425767e-60,1554.19003708095,16.3787343314564
"TXNDC17","TXNDC17",1.41962966986061,2.70703378951939e-57,3.18048178773557e-60,1137.02741252568,16.3690677925855
"C18orf32","C18orf32",1.23785471930124,3.37618239544707e-57,4.05890940735187e-60,2647.96306069028,16.3542171663801
"PET100","PET100",1.60027239199124,3.64489642814176e-57,4.52627736038524e-60,1568.99849441643,16.3475764082429
"ZC3H7B","ZC3H7B",-1.23227147157317,3.64489642814176e-57,4.58114253653162e-60,3802.29529847847,-16.3468420925456
"LSM7","LSM7",1.55880013235397,6.85523785596111e-57,8.80341482636608e-60,1628.35437702166,16.3069834877762
"LSM8","LSM8",1.28744376522819,6.8707704450592e-57,9.19882378775105e-60,880.586378009064,16.3042989866962
"TOMM6","TOMM6",1.53007620390672,6.8707704450592e-57,9.17094706724979e-60,3132.78789681637,16.3044844444716
"POMP","POMP",1.44430087573601,7.0461534727174e-57,9.62615573201098e-60,3992.82379100941,16.301524060932
"RANBP1","RANBP1",1.07118654750019,7.40757186605351e-56,1.03223084010145e-58,2031.54715764244,16.1558869768235
"TECPR2","TECPR2",-1.24865708144694,1.03976958038529e-55,1.47730861990861e-58,1081.40386217761,-16.1337659732429
"JTB","JTB",1.28567601576938,1.49705496262313e-55,2.16792570887253e-58,5054.5164393716,16.1100659406985
"RPS19BP1","RPS19BP1",1.26713090258711,1.92664185299837e-55,2.84266400890494e-58,2206.71869624462,16.0933013869527
"POP4","POP4",0.879778804341102,1.96227457685089e-55,2.94885384100109e-58,1174.28842608242,16.091031033361
"USP22","USP22",-0.922286549054878,2.81677863947282e-55,4.30994299872888e-58,7416.48065322733,-16.0675189688035
"BOLA2","BOLA2",1.68985246902543,2.93077413470964e-55,4.56444508534248e-58,475.1268162675,16.0639615526319
"EDF1","EDF1",1.27529462795261,7.17412687754349e-55,1.1369145574948e-57,7582.9786773819,16.0072691365284
"DYNLT1","DYNLT1",1.41016506287013,1.40890978911301e-54,2.27125543205191e-57,2380.93301902074,15.9641470032461
"GTF3A","GTF3A",1.43804175460577,1.66701217815469e-54,2.73288151832786e-57,4542.12462870607,15.9525978498313
"ATXN1L","ATXN1L",-1.37357137935103,1.7414853098143e-54,2.90255482113371e-57,2418.21691364031,-15.9488362159207
"TAF12","TAF12",0.937477719753496,2.07738945991823e-54,3.51917119360994e-57,792.372567012032,15.9368003845409
"C19orf24","C19orf24",1.42304263362008,2.11423992637354e-54,3.63936488323542e-57,1281.33691034002,15.934701144605
"GABARAP","GABARAP",1.3668700455106,2.23224955937293e-54,3.90349386048437e-57,16068.7028574903,15.9303207915633
"KXD1","KXD1",0.945884916771541,2.33348398728283e-54,4.14427878284609e-57,3029.08877747014,15.9265775785625
"ABCA2","ABCA2",-1.66357914750074,2.74965940716195e-54,5.03366704772946e-57,2171.89560522024,-15.914413269629
"SEC61B","SEC61B",1.46231963696618,2.74965940716195e-54,4.98908794935257e-57,3852.74259023552,15.9149700458803
"C18orf21","C18orf21",1.23556690244971,2.82734940271253e-54,5.25314241876696e-57,468.195791882943,15.911741811398
"FOXJ3","FOXJ3",-1.07880300178772,2.98486977948014e-54,5.62736727189622e-57,1556.16155148794,-15.9074333061634
"TMSB10","TMSB10",1.95460498734441,4.37649251895241e-54,8.37056958732941e-57,53715.6999521326,15.8825495638466
"SELENOH","SELENOH",1.32702064288635,4.42458611144458e-54,8.58344801531641e-57,2368.58496212806,15.8809744640117
"CIAO2B","CIAO2B",1.42462799192563,4.64874592289275e-54,9.2723422052835e-57,2273.02367241986,15.8761315988055
"RPS27L","RPS27L",1.63364381544468,4.64874592289275e-54,9.17763978849242e-57,3598.4193832285,15.8767756779266
"ATN1","ATN1",-1.48110582761438,5.35239519591598e-54,1.08220783217515e-56,4195.20915825801,-15.8664319450721
"SMARCC2","SMARCC2",-1.2639202209744,5.85687447028997e-54,1.2002119874088e-56,2826.89212824633,-15.8599333449048
"DGUOK","DGUOK",1.14179255335596,8.35789868044094e-54,1.73556736444578e-56,1464.06932597964,15.8367520629383
"JOSD2","JOSD2",1.29261511347585,1.55486246295446e-53,3.27124811190179e-56,1371.88831168036,15.7968366802042
"MRPL54","MRPL54",1.4094822277737,1.88393258037553e-53,4.01504798681087e-56,1401.86635991586,15.7839132567787
"UBA52","UBA52",1.81035313507151,1.96816226127699e-53,4.24833516327993e-56,26612.0213868984,15.7803488580071
"PDCD5","PDCD5",1.46228840726731,2.28682095178878e-53,4.99865231681473e-56,1539.26507884045,15.7700798798036
