"variable","cluster","category","n","percent"
"ccp_status","Cluster 1","negative",13,28.2608695652174
"ccp_status","Cluster 1","positive",33,71.7391304347826
"ccp_status","Cluster 2","negative",4,21.0526315789474
"ccp_status","Cluster 2","positive",15,78.9473684210526
"ccp_status","Cluster 3","positive",9,100
"ccp_status","Cluster 4","negative",18,16.5137614678899
"ccp_status","Cluster 4","positive",91,83.4862385321101
"ccp_status","Cluster 5","negative",6,26.0869565217391
"ccp_status","Cluster 5","positive",17,73.9130434782609
"rf_status","Cluster 1","negative",23,47.9166666666667
"rf_status","Cluster 1","positive",25,52.0833333333333
"rf_status","Cluster 2","negative",5,26.3157894736842
"rf_status","Cluster 2","positive",14,73.6842105263158
"rf_status","Cluster 3","negative",4,44.4444444444444
"rf_status","Cluster 3","positive",5,55.5555555555556
"rf_status","Cluster 4","negative",24,22.0183486238532
"rf_status","Cluster 4","positive",85,77.9816513761468
"rf_status","Cluster 5","negative",6,26.0869565217391
"rf_status","Cluster 5","positive",17,73.9130434782609
"sex","Cluster 1","female",36,75
"sex","Cluster 1","male",12,25
"sex","Cluster 2","female",15,78.9473684210526
"sex","Cluster 2","male",4,21.0526315789474
"sex","Cluster 3","female",4,44.4444444444444
"sex","Cluster 3","male",5,55.5555555555556
"sex","Cluster 4","female",84,77.0642201834862
"sex","Cluster 4","male",25,22.9357798165138
"sex","Cluster 5","female",20,86.9565217391304
"sex","Cluster 5","male",3,13.0434782608696
