"variable","cluster","n","median","Q1","Q3","min","max"
"age","Cluster 1",48,55,42,64.25,22,82
"age","Cluster 2",19,58,53.5,64,39,77
"age","Cluster 3",9,60,51,65,28,71
"age","Cluster 4",109,55,44,63,24,90
"age","Cluster 5",23,49,37,60,22,83
"TJC","Cluster 1",48,12.5,7,22,0,28
"TJC","Cluster 2",19,10,7,16.5,4,28
"TJC","Cluster 3",9,10,6,12,0,24
"TJC","Cluster 4",109,12,8,20,1,28
"TJC","Cluster 5",23,14,12,19.5,5,27
"SJC","Cluster 1",48,7,4,10.25,0,23
"SJC","Cluster 2",19,7,5.5,10.5,3,23
"SJC","Cluster 3",9,9,6,12,3,20
"SJC","Cluster 4",109,8,5,11,1,23
"SJC","Cluster 5",23,10,8.5,12,4,18
"arthritis_activity","Cluster 1",48,64.5,52.25,80.25,10,100
"arthritis_activity","Cluster 2",19,67,50.5,81.5,19,95
"arthritis_activity","Cluster 3",9,61,52,80,23,100
"arthritis_activity","Cluster 4",109,74,58,86,3,100
"arthritis_activity","Cluster 5",23,85,72.5,94.5,45,100
"ESR","Cluster 1",48,16,10.75,28.5,1,60
"ESR","Cluster 2",19,33,15,48.5,10,91
"ESR","Cluster 3",9,25,8,29,2,118
"ESR","Cluster 4",109,31,20,45,2,117
"ESR","Cluster 5",23,28,18.5,37.5,4,67
"CRP","Cluster 1",44,7.5,1.75,14.625,0,71
"CRP","Cluster 2",17,41,11,44,0,66
"CRP","Cluster 3",9,22,6,45,2,88.1
"CRP","Cluster 4",102,10.9,5.25,26.825,0,188
"CRP","Cluster 5",20,22.5,6.75,41.1,2,104
"physician_global","Cluster 1",48,58,44.25,70.25,16,87
"physician_global","Cluster 2",19,58,49,75.5,40,92
"physician_global","Cluster 3",9,55,40,76,34,96
"physician_global","Cluster 4",109,66,48,80,7,100
"physician_global","Cluster 5",23,66,55,80,28,100
