"variable","cluster_1","cluster_2","p_BH"
"arthritis_activity","Cluster 2","Cluster 1",1
"arthritis_activity","Cluster 3","Cluster 1",1
"arthritis_activity","Cluster 4","Cluster 1",0.189353012765934
"arthritis_activity","Cluster 5","Cluster 1",0.00903756356530243
"arthritis_activity","Cluster 3","Cluster 2",1
"arthritis_activity","Cluster 4","Cluster 2",0.450120734418695
"arthritis_activity","Cluster 5","Cluster 2",0.0316246617529935
"arthritis_activity","Cluster 4","Cluster 3",0.673436283207506
"arthritis_activity","Cluster 5","Cluster 3",0.121604649504147
"arthritis_activity","Cluster 5","Cluster 4",0.117129309341919
"ESR","Cluster 2","Cluster 1",0.0610280665878596
"ESR","Cluster 3","Cluster 1",0.880713350403427
"ESR","Cluster 4","Cluster 1",0.000305195267154402
"ESR","Cluster 5","Cluster 1",0.0670563798116958
"ESR","Cluster 3","Cluster 2",0.49483663102188
"ESR","Cluster 4","Cluster 2",0.927887788171962
"ESR","Cluster 5","Cluster 2",0.880713350403427
"ESR","Cluster 4","Cluster 3",0.314210429611566
"ESR","Cluster 5","Cluster 3",0.546592591955592
"ESR","Cluster 5","Cluster 4",0.546592591955592
"CRP","Cluster 2","Cluster 1",0.0233533187239683
"CRP","Cluster 3","Cluster 1",0.138367574531129
"CRP","Cluster 4","Cluster 1",0.113513432903006
"CRP","Cluster 5","Cluster 1",0.0233533187239683
"CRP","Cluster 3","Cluster 2",0.898112091106553
"CRP","Cluster 4","Cluster 2",0.113513432903006
"CRP","Cluster 5","Cluster 2",0.893082263449817
"CRP","Cluster 4","Cluster 3",0.63707114603292
"CRP","Cluster 5","Cluster 3",1
"CRP","Cluster 5","Cluster 4",0.138367574531129
