"cluster_id","pathotype_histological","Freq","pct"
"1","Fibroid",22,44.8979591836735
"2","Fibroid",2,10.5263157894737
"3","Fibroid",3,30
"4","Fibroid",7,6.42201834862385
"1","Lymphoid",9,18.3673469387755
"2","Lymphoid",9,47.3684210526316
"3","Lymphoid",1,10
"4","Lymphoid",78,71.5596330275229
"5","Lymphoid",16,69.5652173913043
"1","Myeloid",15,30.6122448979592
"2","Myeloid",8,42.1052631578947
"3","Myeloid",5,50
"4","Myeloid",24,22.0183486238532
"5","Myeloid",7,30.4347826086957
"1","Ungraded",3,6.12244897959184
"3","Ungraded",1,10
