"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cellular Respiration (GO:0045333)","72/85",3.2904377170252e-40,1.37803531589015e-36,0,0,25.0914916796616,2281.12730461226,"COX7B;NDUFA13;NDUFA12;COX4I1;NDUFA10;ETFA;ETFB;MTFR1L;COX7C;UQCRFS1;ME3;COX8A;NDUFC2;NDUFC1;SDHC;SDHA;SDHB;COX6B1;SIRT3;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;SDHAF4;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ETFDH;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;MTLN;UQCRH;ETFRF1;CYC1;NDUFV3;NDUFV2;NDUFV1;PPARGC1A;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;LYRM7;NDUFAB1;CYCS"
"Aerobic Electron Transport Chain (GO:0019646)","60/68",7.12794804796296e-36,1.30345435387858e-32,0,0,33.8755881538887,2741.51882690332,"COX7B;COX4I1;NDUFA10;COX6A2;COX7C;UQCRFS1;UQCRFS1P1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;NDUFAF1"
"Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)","61/70",9.3370655721961e-36,1.30345435387858e-32,0,0,30.6200935154424,2469.78830679354,"COX7B;NDUFA12;COX4I1;NDUFA10;COX6A2;COX7C;UQCRFS1;UQCRFS1P1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;NDUFAF1"
"NADH Dehydrogenase Complex Assembly (GO:0010257)","49/53",8.84049825081466e-32,7.40480133488236e-29,0,0,55.1757036423841,3945.24928982703,"NDUFA13;NDUFA10;ECSIT;TMEM186;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFS3;TMEM126A;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;DMAC1;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;FOXRED1;NDUFA9;NDUFA8;COA1;NDUFA6;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;LYRM2;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF3;NDUFAF1"
"Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981)","49/53",8.84049825081466e-32,7.40480133488236e-29,0,0,55.1757036423841,3945.24928982703,"NDUFA13;NDUFA10;ECSIT;TMEM186;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;NDUFS5;NDUFS4;NDUFS3;TMEM126A;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;DMAC1;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;FOXRED1;NDUFA9;NDUFA8;COA1;NDUFA6;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;LYRM2;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF3;NDUFAF1"
"Mitochondrial Respiratory Chain Complex Assembly (GO:0033108)","67/90",5.10475722204478e-31,3.16150344317417e-28,0,0,13.1708987436398,918.669726245517,"NDUFA13;NDUFA10;ECSIT;TMEM186;CHCHD4;AIFM1;UQCRFS1;COA5;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;SDHAF3;NDUFS5;NDUFS4;NDUFS3;TMEM126A;NDUFS2;NDUFS1;SDHAF4;SMIM20;COX19;NDUFB9;NDUFB8;NDUFB7;DMAC1;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;NDUFB4;COX17;NDUFB3;NDUFB2;NDUFB1;OMA1;FOXRED1;PET117;SAMM50;COX14;NDUFA9;NDUFA8;COA1;NDUFA6;NDUFA5;NUBPL;UQCC2;NDUFA3;UQCC1;NDUFA2;NDUFA1;LYRM2;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;LYRM7;NDUFAB1;NDUFAF5;NDUFAF3;NDUFAF1;SLC25A33;COX20"
"Oxidative Phosphorylation (GO:0006119)","54/63",5.28427032049168e-31,3.16150344317417e-28,0,0,27.0538822879248,1886.07231559277,"NDUFA13;NDUFA12;NDUFA10;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NIPSNAP2;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;ATP5F1B;NDUFV3;NDUFV2;NDUFV1;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;CHCHD10;ATP5F1C;ATP5F1D;NDUFAB1;ATP5PO"
"Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)","48/53",3.92159990998219e-30,2.05295755287567e-27,0,0,43.2251586206897,2926.82100971302,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV3;NDUFV2;NDUFV1;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;ATP5F1C;SDHB;ATP5F1D;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;ATP5PO;NDUFS2;NDUFS1"
"Proton Motive Force-Driven ATP Synthesis (GO:0015986)","51/60",5.52457638290827e-29,2.57076954351331e-26,0,0,25.529725750046,1661.11103724282,"NDUFA13;NDUFA12;NDUFA10;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;ATP5MC1;ATP5F1B;NDUFV3;NDUFV2;NDUFV1;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;ATP5F1D;NDUFAB1;ATP5PO"
"Aerobic Respiration (GO:0009060)","50/59",2.58689612406678e-28,1.08339209675917e-25,0,0,25.0222344895268,1589.46047391273,"NDUFA13;NDUFA12;NDUFA10;MTFR1L;ME3;NDUFC2;NDUFC1;SDHC;SDHB;NIPSNAP2;SIRT3;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCRH;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;MDH2;NDUFA3;NDUFA2;NDUFA1;CHCHD10;ATP5F1D;NDUFAB1"
