"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Diabetic cardiomyopathy","107/203",1.80354328414641e-28,5.60901961369532e-26,0,0,5.07313574967284,324.085250904367,"NDUFA13;IRS1;NDUFA12;NDUFA10;COX6A2;PPP1CB;PPP1CC;MPC1;AKT2;MPC2;PDK4;PDK2;SDHC;SDHD;SDHA;CPT1B;SDHB;COX6B1;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;NDUFB10;UQCRB;NDUFB11;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;CYC1;NDUFV3;NDUFV2;NDUFV1;PDHA1;SMAD3;UQCRQ;COX7B;COX4I1;ATP2A2;ATP2A1;SLC2A4;COX7C;GYS1;CPT2;UQCRFS1;COX8A;PARP1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;TBC1D4;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PPARA;GAPDH;SLC25A4;CAMK2B;NDUFB9;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;CAMK2A;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;PDHB;COX5B;COX5A;PTPA;MAPK9;ATP5F1A;ATP5F1B;PLN;TNNI3;CAMK2G;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MAPK12;MTOR;NDUFAB1;ATP5PO"
"Thermogenesis","114/232",9.5310829165315e-27,1.48208339352065e-24,0,0,4.39998380805882,263.62608219189,"NDUFA13;NDUFA12;NDUFA10;COX6A2;DPF3;PRKACA;MAP2K3;PRKAB2;TSC2;SDHC;TSC1;SDHD;SDHA;CPT1B;SDHB;COX6B1;ADCY9;UQCRC1;UQCRC2;COX19;NDUFB10;UQCRB;COX15;NDUFB11;COX17;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;COX11;COX14;CYC1;NDUFV3;NDUFV2;PPARGC1A;NDUFV1;COX10;ATP5ME;COA1;NDUFAF8;NDUFAF6;NDUFAF7;UQCRQ;NDUFAF4;NDUFAF5;GNAS;NDUFAF3;NDUFAF1;COX20;COX7B;COX4I1;PRKAG1;COX7C;PRKAG3;RPTOR;CPT2;MLST8;UQCRFS1;HRAS;COA7;PRKG1;COA5;COX8A;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;AKT1S1;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SOS2;NDUFB9;NDUFB8;NDUFB7;PRKAA2;SMARCD3;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ADCY2;UQCR11;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;SLC25A20;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MAPK12;MTOR;NDUFAB1;ATP5PO"
"Oxidative phosphorylation","79/133",6.44232993389279e-26,6.67854869813553e-24,0,0,6.62403903625384,384.222894207499,"NDUFA13;COX7B;NDUFA12;COX4I1;NDUFA10;COX6A2;COX7C;UQCRFS1;ATP6V1E2;COX8A;ATP6V1G2;NDUFC2;SDHC;NDUFC1;SDHD;SDHA;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB6;COX15;NDUFB11;NDUFB5;NDUFB4;COX17;NDUFB3;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;UQCR10;COX5B;COX7A1;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP5F1B;COX11;CYC1;NDUFV3;NDUFV2;ATP6V1D;NDUFV1;COX10;ATP5ME;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;UQCRQ;NDUFAB1;ATP5PO"
"Parkinson disease","117/249",2.9621142923082e-25,2.30304386226962e-23,0,0,4.03674327640863,227.990109462226,"NDUFA13;CALML6;NDUFA12;NDUFA10;PARK7;COX6A2;TXN2;PSMD8;PSMD7;PSMD4;PSMD2;PSMD3;PRKACA;SDHC;SDHD;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;ATF4;PSMD12;PSMD11;NDUFB10;UQCRB;NDUFB11;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;KLC4;KLC2;UBB;CYC1;NDUFV3;NDUFV2;NDUFV1;TRAP1;UQCRQ;GNAS;CYCS;CALM3;MCU;TUBA8;COX7B;COX4I1;COX7C;RYR3;UQCRFS1;COX8A;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;SLC25A4;PRKN;CAMK2B;NDUFB9;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;CAMK2A;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;MAPK9;ATP5F1A;ATP5F1B;PSMB5;MFN2;CAMK2G;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;UBE2G1;UBE2G2;ATP5F1C;COX6C;ATP5F1D;PINK1;PSMC6;PSMC3;PSMC1;NDUFAB1;ATP5PO"
"Prion disease","114/273",1.57385996990472e-19,8.18936660661744e-18,0,0,3.25713710126334,141.019658130906,"NDUFA13;NDUFA12;NDUFA10;COX6A2;PSMD8;PSMD7;PSMD4;PSMD2;PSMD3;PRKACA;CSNK2A1;SDHC;SDHD;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;UQCRC2;ATF4;PSMD12;PSMD11;NDUFB10;UQCRB;NDUFB11;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;KLC4;STIP1;KLC2;CACNA1S;CYC1;NDUFV3;NDUFV2;NDUFV1;HSPA8;CAV3;HSPA2;UQCRQ;CYCS;MCU;TUBA8;RYR1;COX7B;COX4I1;COX7C;RYR3;PPP3CB;C8G;PPP3CC;UQCRFS1;COX8A;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;MAPK9;ATP5F1A;ATP5F1B;PSMB5;NCAM1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;HSPA1L;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MAPK12;SOD1;PSMC6;PSMC3;PSMC1;NDUFAB1;ATP5PO"
"Non-alcoholic fatty liver disease","78/155",1.57994211060143e-19,8.18936660661744e-18,0,0,4.57887036468399,198.227212936485,"NDUFA13;COX7B;GSK3A;IRS1;NDUFA12;COX4I1;NDUFA10;PRKAG1;COX6A2;COX7C;PRKAG3;IKBKB;AKT2;MLX;UQCRFS1;COX8A;PRKAB2;NDUFC2;SDHC;NDUFC1;SDHD;SDHA;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;PPARA;ATF4;NDUFB9;NDUFB8;NDUFB7;PRKAA2;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX7A1;COX5A;UQCRH;MAPK9;RXRA;CYC1;NDUFV3;NDUFV2;NDUFV1;MLXIP;NDUFA9;NDUFA8;JUN;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;MAPK12;MLXIPL;UQCRQ;NDUFAB1;CYCS"
"Alzheimer disease","131/369",2.62603418537293e-15,1.16670947378712e-13,0,0,2.5002004754471,83.9399846253361,"NDUFA13;CALML6;IRS1;NDUFA12;NDUFA10;ARAF;COX6A2;PSMD8;PSMD7;PSMD4;AKT2;PSMD2;PSMD3;MAP2K2;CSNK2A1;SDHC;SDHD;ATG14;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;VDAC3;PPIF;ULK2;VDAC2;ULK1;VDAC1;UQCRC2;RAF1;PPID;ATF4;PSMD12;PSMD11;NDUFB10;UQCRB;NDUFB11;ATP5MC2;PSEN2;ATP5MC3;COX7A1;RTN4;UQCRH;ATP5MC1;KLC4;KLC2;DVL1;DVL3;CACNA1S;CYC1;NDUFV3;MAP2K7;NDUFV2;NDUFV1;FZD9;UQCRQ;CYCS;CALM3;MCU;TUBA8;COX7B;COX4I1;ATP2A2;ATP2A1;COX7C;RYR3;IKBKB;PPP3CB;PPP3CC;UQCRFS1;NOS1;HRAS;COX8A;NDUFC2;NDUFC1;WIPI1;WNT9A;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;GAPDH;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;MAPK9;ATP5F1A;ATP5F1B;PSMB5;APBB1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MTOR;PSMC6;PSMC3;PSMC1;NDUFAB1;ATP5PO"
"Huntington disease","114/306",3.58752795488684e-15,1.39465149246226e-13,0,0,2.691811253161,89.5331766863251,"NDUFA13;NDUFA12;NDUFA10;COX6A2;PSMD8;PSMD7;PSMD4;PSMD2;PSMD3;SDHC;SDHD;ATG14;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;VDAC3;PPIF;ULK2;VDAC2;ULK1;VDAC1;UQCRC2;PSMD12;PSMD11;NDUFB10;UQCRB;NDUFB11;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;KLC4;KLC2;CLTCL1;CYC1;NDUFV3;MAP2K7;NDUFV2;PPARGC1A;NDUFV1;UQCRQ;CYCS;MAP3K10;TUBA8;COX7B;COX4I1;CLTB;COX7C;ACTR1B;UQCRFS1;COX8A;NDUFC2;NDUFC1;WIPI1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A4;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;MAPK9;ATP5F1A;ATP5F1B;PSMB5;POLR2C;POLR2D;POLR2I;POLR2J;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MTOR;SOD1;PSMC6;PSMC3;PSMC1;NDUFAB1;ATP5PO"
"Pathways of neurodegeneration","154/475",7.22639019783655e-14,2.49711927947463e-12,0,0,2.18212303658201,66.027664443688,"NDUFA13;CALML6;NDUFA12;NDUFA10;ARAF;PARK7;COX6A2;PSMD8;PSMD7;PSMD4;PSMD2;PSMD3;MAP2K3;GABARAPL2;MAP2K2;CSNK2A1;SDHC;SDHD;ATG14;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;VDAC3;PPIF;ULK2;VDAC2;ULK1;VDAC1;UQCRC2;RAF1;SQSTM1;OPTN;PPID;ATF4;PSMD12;PSMD11;UQCRB;NDUFB10;NDUFB11;ATP5MC2;PSEN2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;KLC4;KLC2;UBB;DVL1;DVL3;CACNA1S;CYC1;NDUFV3;MAP2K7;NDUFV2;NDUFV1;MAP2K6;TRAP1;FZD9;UQCRQ;BCL2;MAP3K10;CYCS;CALM3;MCU;TUBA8;RYR1;COX7B;COX4I1;ATP2A2;ATP2A1;COX7C;RYR3;PPP3CB;ACTR1B;PPP3CC;UQCRFS1;NEFM;NOS1;HRAS;COX8A;NDUFC2;NDUFC1;WIPI1;WNT9A;TOMM40L;NDUFS8;ALS2;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;MAPT;SLC25A4;PRKN;CAMK2B;NDUFB9;NDUFB8;CAMK2D;NDUFB7;NDUFB6;NDUFB5;NDUFB4;DCTN4;NDUFB3;CAMK2A;DCTN3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;MAPK9;ATP5F1A;PSMB5;ATP5F1B;MFN2;CAMK2G;NDUFA9;NDUFA8;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA3;ADRM1;NDUFA2;NDUFA1;UBE2G1;UBE2G2;ATP5F1C;COX6C;ATP5F1D;MTOR;MAPK12;SOD1;PINK1;PSMC6;PSMC3;VAPB;PSMC1;NDUFAB1;ATP5PO"
"Amyotrophic lateral sclerosis","125/364",1.81776644908296e-13,5.653253656648e-12,0,0,2.37154056973579,69.5715086690379,"NDUFA13;NDUFA12;NDUFA10;COX6A2;PSMD8;PSMD7;PSMD4;PSMD2;PSMD3;MAP2K3;GABARAPL2;SDHC;SDHD;ATG14;SDHA;SDHB;TUBA4A;COX6B1;UQCRC1;ULK2;ULK1;VDAC1;UQCRC2;SQSTM1;OPTN;ATF4;PFN2;PSMD12;PSMD11;NDUFB10;UQCRB;NDUFB11;ATP5MC2;ATP5MC3;COX7A1;UQCRH;ATP5MC1;KLC4;KLC2;NUP88;CYC1;NDUFV3;NDUFV2;NDUFV1;MAP2K6;CHCHD10;UQCRQ;BCL2;CYCS;MCU;TUBA8;COX7B;COX4I1;COX7C;PPP3CB;ACTR1B;PPP3CC;UQCRFS1;NEFM;NOS1;COX8A;NDUFC2;NDUFC1;WIPI1;TOMM40L;NDUFS8;ALS2;NDUFS7;NDUFS6;NRG4;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PRKN;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;ATP5F1A;ATP5F1B;PSMB5;ERBB4;UBQLN4;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MAPK12;MTOR;SOD1;PINK1;PSMC6;PSMC3;VAPB;PSMC1;HNRNPA2B1;NDUFAB1;ATP5PO"
