"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Oxidative Phosphorylation","152/200",4.31038782220906e-71,2.15519391110453e-69,0,0,14.6407744012118,2372.13507129994,"ISCA1;MTRR;ACAA2;ECI1;PHB2;MTRF1;MPC1;PDK4;PMPCA;PDHX;PHYH;ECH1;SDHC;SDHD;SDHA;ATP1B1;SDHB;COX6B1;AFG3L2;OXA1L;FDX1;UQCRC1;VDAC3;VDAC2;SUCLG1;VDAC1;UQCRC2;ISCU;UQCRB;ABCB7;COX15;MGST3;COX17;ATP5MC2;ATP5MC3;MRPL15;UQCRH;ATP5MC1;ACAT1;TIMM50;PRDX3;GRPEL1;COX11;CYC1;NDUFV2;NDUFV1;ATP6V1D;COX10;DECR1;ATP5ME;HSPA9;PDHA1;IDH2;GOT2;ACADSB;CS;ALDH6A1;UQCRQ;OGDH;CYCS;ACO2;GPI;COX7B;MRPS15;SLC25A3;ACADVL;ALAS1;MRPS11;COX4I1;HCCS;ETFA;ETFB;MRPL34;COX7C;MRPL35;AIFM1;OPA1;NNT;IDH3B;TIMM17A;UQCRFS1;ACADM;DLAT;IDH3A;COX8A;TOMM70;BCKDHA;MRPS22;NDUFC2;NDUFC1;HADHB;SUPV3L1;HADHA;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A12;DLD;SLC25A11;SLC25A4;FXN;FH;NDUFB8;ECHS1;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;TIMM13;NDUFB2;ETFDH;DLST;NDUFB1;UQCR11;UQCR10;MRPS30;PDHB;COX5B;COX5A;ATP5F1A;ATP5F1B;MFN2;SLC25A20;NDUFA9;TIMM8B;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;MDH1;NDUFA5;ATP5PB;MTX2;MDH2;NDUFA4;NDUFA3;NDUFA2;NDUFA1;IMMT;ATP5F1C;COX6C;ATP5F1D;LRPPRC;SUCLA2;NDUFAB1;ATP5PO"
"Myogenesis","115/200",3.01253325234946e-35,7.53133313087365e-34,0,0,6.17607380220216,490.921882532098,"EIF4A2;ENO3;COX6A2;SLN;AKT2;MYOZ1;LARGE1;PPFIA4;MEF2A;GABARAPL2;CHRNB1;MEF2C;ACTN3;ACTN2;TPM3;DAPK2;TPM2;IFRD1;TSC2;ADCY9;PPP1R3C;MYL1;BIN1;MYL2;MYL3;CHRNA1;FLII;AK1;PSEN2;FOXO4;COX7A1;BAG1;DTNA;DMPK;CAV3;MYLPF;REEP1;SMTN;SLC6A8;PKIA;FXYD1;HRC;SSPN;MYF6;RYR1;MYOM1;ACHE;SCHIP1;HSPB8;FHL1;HSPB2;MYL6B;PYGM;ATP2A1;LDB3;MYOM2;CSRP3;SGCD;SGCA;MB;SPEG;ANKRD2;NOS1;SGCG;MYOG;TEAD4;TNNC1;TNNC2;PGAM2;SIRT2;ACTA1;MYH1;MYH2;PTP4A3;MRAS;MYH3;TNNT1;TNNT2;TNNT3;CASQ2;MYH8;PICK1;ITGA7;MAPRE3;CASQ1;CRYAB;MYH7;CAMK2B;HDAC5;CTF1;CKMT2;CHRNG;TNNI1;TNNI2;DMD;NCAM1;CACNG1;MEF2D;SH3BGR;PDLIM7;SH2B1;SVIL;CKM;AGL;MYBPH;PDE4DIP;TPD52L1;MAPK12;FABP3;ACTC1;DES;TCAP;LPIN1;CRAT;PFKM"
"Adipogenesis","82/200",6.51652016957064e-14,1.08608669492844e-12,0,0,3.13669767639438,95.2359468076486,"COX7B;MTCH2;RNF11;ACAA2;GBE1;HSPB8;ARAF;GHITM;ETFB;GPHN;AIFM1;CPT2;NKIRAS1;DBT;ACADM;DLAT;HADH;ACADS;PGM1;YWHAG;HIBCH;IDH3A;COX8A;BCKDHA;PHYH;MIGA2;DGAT1;MCCC1;ECH1;SDHC;CMBL;SDHB;PPM1B;TST;UQCRC1;NDUFS3;ITGA7;SUCLG1;PREB;ALDOA;DLD;ECHS1;NDUFB7;MGST3;ATL2;UQCR11;MRPL15;UQCR10;TOB1;AGPAT3;PRDX3;BCL2L13;SAMM50;GRPEL1;DHRS7B;G3BP2;CYC1;MAP4K3;DECR1;ESRRA;PTCD3;NDUFA5;MDH2;VEGFB;CHCHD10;IMMT;COQ9;PEX14;COQ5;SOD1;CS;QDPR;COQ3;DHRS7;UCK1;BCL6;UQCRQ;NDUFAB1;SSPN;ATP5PO;ACO2;CRAT"
"Fatty Acid Metabolism","56/158",2.47711106430769e-07,3.09638883038462e-06,0,0,2.46277111895353,37.461218049307,"ACADVL;ACAA2;ECI1;ECI2;HCCS;ENO3;MCEE;CPT2;AUH;IDH3B;MLYCD;ACADM;HADH;ACADS;HIBCH;ACOT8;HSDL2;ADSL;ECH1;SDHC;SDHD;SDHA;HADHB;ACOT2;SUCLG2;SUCLG1;PPARA;ALDOA;DLD;GCDH;IDI1;FH;SLC22A5;ECHS1;ADH1C;ODC1;ETFDH;DLST;PDHB;BPHL;PTS;HMGCL;TP53INP2;D2HGDH;ACSS1;DECR1;PDHA1;MDH1;MDH2;UROS;PRDX6;GSTZ1;GRHPR;SUCLA2;ACO2;CRAT"
"Reactive Oxygen Species Pathway","14/49",0.0536978734263804,0.472339114338334,0,0,1.78103306914458,5.20842083375134,"NDUFA6;TXNRD2;NDUFB4;TXNRD1;OXSR1;PRDX6;SOD1;PTPA;PRDX2;STK25;NDUFS2;MBP;GCLM;LAMTOR5"
"Myc Targets V1","46/200",0.0566806937206001,0.472339114338334,0,0,1.33192613837775,3.82305639786995,"YWHAE;HDDC2;SLC25A3;HSP90AB1;GLO1;ODC1;CUL1;PHB;PHB2;COX5A;GSPT1;PSMA7;PSMD8;PRDX3;EXOSC7;PSMD7;PCBP1;C1QBP;RUVBL2;PSMD3;POLD2;SNRPD3;CYC1;CCT7;TOMM70;STARD7;VBP1;PABPC4;CNBP;IFRD1;GOT2;MRPS18B;RAD23B;TUFM;AIMP2;RSL1D1;PSMC6;COPS5;IMPDH2;HNRNPA2B1;SERBP1;NDUFAB1;EIF3J;POLE3;VDAC3;VDAC1"
"Pperoxisome","24/104",0.132961259780564,0.949723284146882,0,0,1.33573581803234,2.6951107846875,"IDI1;FIS1;ACOT8;CTBP1;ABCC8;ABCB4;CNBP;ECI2;ECH1;IDH2;PEX13;PEX14;SOD1;GNPAT;HMGCL;PRDX5;PEX6;PEX5;NUDT19;MLYCD;HRAS;SLC25A4;RXRG;CRAT"
"KRAS Signaling Dn","42/200",0.18938548737597,0.999996090192148,0,0,1.18372035461166,1.96967601709703,"PNMT;RYR1;PRKN;CNTFR;KCNE2;THRB;SMPX;ARHGDIG;CCDC106;SNN;CAPN9;FGGY;CHRNG;TNNI3;NOS1;CACNG1;SYNPO;PRODH;SLC38A3;SLC25A23;SNCB;PDK2;GAMT;ARPP21;CKM;EGF;ZBTB16;PAX3;THNSL2;FGF16;P2RX6;AKR1B10;ACTC1;STAG3;GDNF;MYOT;YPEL1;COQ8A;ITGB1BP2;CPEB3;GPRC5C;MYH7"
"Bile Acid Metabolism","24/112",0.23277754272379,0.999996090192148,0,0,1.21370736690002,1.76918728587571,"IDI1;PHYH;PEX19;ABCA5;IDH2;PEX1;PEX12;PEX13;NR3C2;SOD1;GNMT;GNPAT;PEX7;PRDX5;RXRA;PEX6;NEDD4;PXMP2;MLYCD;GCLM;RXRG;PFKM;OPTN;NUDT12"
"heme Metabolism","41/200",0.241402203637789,0.999996090192148,0,0,1.14788186074862,1.63147397613459,"ISCA1;ALDH1L1;USP15;NARF;ABCB6;FECH;MGST3;GDE1;ENDOD1;MOSPD1;FOXO3;PRDX2;NNT;DCAF11;MARK3;MAP2K3;FN3K;RBM38;UROS;GLRX5;FBXO34;RAD23A;VEZF1;ANK1;SPTB;UBAC1;SLC25A38;RNF123;KAT2B;ALDH6A1;SLC6A8;XK;TFDP2;HMBS;TMCC2;ATG4A;HAGH;GCLM;OPTN;EZH1;NFE2L1"
