"cluster","gene","log2FC","FDR","baseMean"
"Fibroid","PRR4",4.853,"6.02e-46",38
"Fibroid","TYRO3",2.975,"3.88e-43",543.9
"Fibroid","MTA3",0.998,"6.70e-43",704.7
"Fibroid","ELOVL6",3.022,"1.06e-42",411
"Fibroid","IL17RE",2.734,"2.36e-42",212.3
"Fibroid","GNAI1",2.419,"1.25e-41",913.5
"Fibroid","FBXO27",2.94,"2.78e-41",205.7
"Fibroid","SLC25A10",2.279,"3.30e-41",348.7
"Fibroid","EPHB6",2.782,"3.93e-41",893.1
"Fibroid","SRCIN1",2.826,"6.71e-41",35
"Fibroid","APCDD1",3.158,"1.29e-40",1255.5
"Fibroid","CTNNBIP1",2.519,"3.01e-39",1809.3
"Fibroid","CAT",1.804,"7.42e-39",4882.2
"Fibroid","PHGDH",2.905,"3.98e-38",1034.1
"Fibroid","TF",3.072,"6.34e-38",566.3
"Vascular","TNFRSF11B",1.778,"7.56e-25",730.3
"Vascular","AQP1",1.215,"1.52e-24",53593.5
"Vascular","PKN3",0.994,"1.61e-23",976.7
"Vascular","AP003071.4",1.245,"3.08e-21",96.7
"Vascular","TRPC1",0.684,"6.98e-21",255.4
"Vascular","PLEKHA4",0.778,"1.87e-20",4643.8
"Vascular","SPARCL1",1.07,"2.08e-20",31942.7
"Vascular","SNTB2",0.598,"7.23e-20",2481.5
"Vascular","CLEC3A",2.612,"8.15e-20",12.5
"Vascular","TRAK2",0.521,"1.58e-19",3104.6
"Vascular","PCDHB18P",0.927,"1.71e-19",49.2
"Vascular","EMCN",1.028,"1.90e-19",2509.2
"Vascular","A4GALT",0.728,"2.36e-19",2982.8
"Vascular","PDE10A",0.923,"3.99e-19",371.7
"Vascular","DIO2",1.324,"4.87e-19",2242.8
"Lymphoid","RPN2",0.776,"7.39e-54",8988.2
"Lymphoid","TNS3",1.079,"1.34e-53",6523.1
"Lymphoid","ATP6AP1",0.75,"5.30e-48",5713.7
"Lymphoid","MAN2B1",1.041,"3.19e-47",12051.1
"Lymphoid","WDR81",0.787,"5.76e-47",2292.8
"Lymphoid","PLXNB2",1.029,"2.99e-46",9186.3
"Lymphoid","MAN2A1",0.969,"2.99e-46",2767.4
"Lymphoid","ATP13A1",0.884,"9.31e-46",1656
"Lymphoid","SEC24A",0.808,"2.35e-44",1336.5
"Lymphoid","CD163",1.932,"1.36e-42",29454.2
"Lymphoid","ADA2",1.582,"1.73e-42",6843.8
"Lymphoid","SLC36A1",1.227,"1.20e-41",1331.9
"Lymphoid","WASHC4",0.644,"1.76e-41",2455.8
"Lymphoid","RIC1",0.646,"4.06e-41",1394.7
"Lymphoid","TPP1",1.188,"8.96e-40",10166.7
"Myeloid","FXR1",2.717,"5.04e-149",3708.3
"Myeloid","DYRK1B",3.7,"1.08e-144",949.9
"Myeloid","AC005523.2",4.678,"2.60e-136",1902.1
"Myeloid","TMEM182",5.052,"3.71e-135",247.1
"Myeloid","DCAF6",3.24,"8.04e-131",3049.4
"Myeloid","FEM1A",4.546,"2.38e-124",547.6
"Myeloid","C19orf47",2.798,"5.70e-117",535.5
"Myeloid","GOT1",3.78,"2.43e-116",857.2
"Myeloid","LRRC20",5.041,"1.42e-111",543.1
"Myeloid","ASB8",2.253,"2.27e-107",1510.2
"Myeloid","PFKM",5.097,"3.60e-106",2267.1
"Myeloid","BIN1",4.748,"3.21e-96",3934.3
"Myeloid","COQ10A",4.369,"1.20e-90",276.5
"Myeloid","BTBD1",2.251,"2.72e-90",3237.4
"Myeloid","SLC25A12",3.006,"3.98e-89",865.9
"IFN-high","EXOSC1",1.056,"1.79e-69",750.7
"IFN-high","RPL28",1.553,"1.78e-68",36153.7
"IFN-high","SS18L2",1.233,"9.35e-67",572.4
"IFN-high","SELENOH",1.129,"6.75e-65",2374.7
"IFN-high","LSM8",1.091,"6.75e-65",881.2
"IFN-high","RANBP1",0.903,"3.28e-64",2032.9
"IFN-high","HSPB11",1.204,"6.07e-62",628.8
"IFN-high","NOP10",1.454,"2.55e-61",2140.5
"IFN-high","TAF10",1.341,"3.29e-61",2560.9
"IFN-high","PAXX",1.14,"5.06e-61",652.1
"IFN-high","ATP5F1E",1.536,"6.98e-61",7930.8
"IFN-high","LSM7",1.308,"1.05e-60",1631.9
"IFN-high","C11orf98",1.168,"3.61e-60",947.8
"IFN-high","LAMTOR2",1.307,"4.84e-60",1719.9
"IFN-high","ATOX1",1.411,"2.61e-58",1488.2
